product_name,category,supplier,purchase_date,purchase_quantity_standardized,unit_standarized,net_purchase_cost,invoice_number
PASSION FRUIT CORDIAL,SYRUP,FRESHPREP,2025-03-12,2000,ml,58.20,FP-20250318
PINEAPPLE CORDIAL,SYRUP,FRESHPREP,2025-03-12,2000,ml,48.20,FP-20250318
RASPBERRY SYRUP,SYRUP,FRESHPREP,2025-03-12,2000,ml,63.20,FP-20250318
ROSE CORDIAL,SYRUP,FRESHPREP,2025-03-12,1000,ml,42.70,FP-20250318
SUGAR SYRUP,SYRUP,FRESHPREP,2025-03-12,5000,ml,33.30,FP-20250318
VANILLA SYRUP,SYRUP,FRESHPREP,2025-03-22,1000,ml,12.20,FP-20250318
HONEY SYRUP,SYRUP,FRESHPREP,2025-03-22,1000,ml,16.2,FP-20250318
GINGER SYRUP,SYRUP,FRESHPREP,2025-05-11,1000,ml,21.2,FP-20250401
CINNAMON SYRUP,SYRUP,FRESHPREP,2025-01-07,1000,ml,21.2,FP-20250403
CARDAMOM SYRUP,SYRUP,FRESHPREP,2025-03-09,1000,ml,23.78,FP-20250403
CHAI SYRUP,SYRUP,FRESHPREP,2025-04-26,1000,ml,19.9,FP-20250403
LAVENDER SYRUP,SYRUP,FRESHPREP,2025-05-31,1000,ml,19.9,FP-20250407
HIBISCUS SYRUP,SYRUP,FRESHPREP,2025-03-18,1000,ml,21,FP-20250421
BANANA LEAF,HERB,GREENSUPPLIER,2025-01-27,250,g,15.00,GS234220250125
BASIL,HERB,GREENSUPPLIER,2025-02-25,600,g,20.00,GS234220250204
LAVENDER,HERB,GREENSUPPLIER,2025-02-25,200,g,16.00,GS234220250204
MINT,HERB,GREENSUPPLIER,2025-02-25,1000,g,4.50,GS234220250204
"ICE CUBE 5,5X4,5",ICE,JAMAICAICE,2025-04-19,20000,g,200.00,JICE19425K
VANILLA PODS,FOOD_COMPONENT,LOCAL SUPPLIER,2025-01-11,,,89.9,20250111-3231
TONKA BEANS,FOOD_COMPONENT,SPECIALTY SHOP,2025-02-27,100,g,23.5,FC-20250125-01
MATCHA POWDER,FOOD_COMPONENT,SPECIALTY SHOP,2025-04-27,200,g,38.3,FC-20250204-01
ACTIVATED CHARCOAL,FOOD_COMPONENT,SPECIALTY SHOP,2025-04-27,100,g,19.9,FC-20250204-02
